# Time-averaged data for fix rdf_fix
# TimeStep Number-of-rows
# Row c_rdfOO[1] c_rdfOO[2] c_rdfOO[3] c_rdfOH[1] c_rdfOH[2] c_rdfOH[3]
10000 100
13 1.53865 0 0 1.53865 0.0735785 0.009
14 1.66174 0 0 1.66174 1.33183 0.199
15 1.78483 0 0 1.78483 3.47574 0.771
16 1.90793 0 0 1.90793 2.73875 1.286
17 2.03102 0 0 2.03102 1.30937 1.565
18 2.15411 0 0 2.15411 0.509009 1.687
19 2.2772 0 0 2.2772 0.283742 1.763
20 2.40029 0 0 2.40029 0.208347 1.825
21 2.52339 0.572214 0.094 2.52339 0.203723 1.892
22 2.64648 4.36109 0.882 2.64648 0.364904 2.024
23 2.76957 6.5998 2.188 2.76957 0.762308 2.326
24 2.89266 3.95623 3.042 2.89266 1.53648 2.99
25 3.01575 1.67078 3.434 3.01575 2.32482 4.082
26 3.13885 0.991491 3.686 3.13885 2.85358 5.534
27 3.26194 0.852505 3.92 3.26194 2.56952 6.946
28 3.38503 0.77134 4.148 3.38503 2.17145 8.231
29 3.50812 0.932356 4.444 3.50812 1.92106 9.452
30 3.63121 1.0231 4.792 3.63121 1.65794 10.581
31 3.75431 1.28166 5.258 3.75431 1.55239 11.711
32 3.8774 1.40786 5.804 3.8774 1.45797 12.843
33 4.00049 1.67621 6.496 4.00049 1.47611 14.063
34 4.12358 1.63236 7.212 4.12358 1.44511 15.332
35 4.24667 1.77556 8.038 4.24667 1.41838 16.653
36 4.36977 1.86778 8.958 4.36977 1.43899 18.072
37 4.49286 1.93585 9.966 4.49286 1.47346 19.608
38 4.61595 1.78304 10.946 4.61595 1.48953 21.247
39 4.73904 1.67782 11.918 4.73904 1.41661 22.89
40 4.86213 1.62018 12.906 4.86213 1.46867 24.683
41 4.98523 1.37582 13.788 4.98523 1.49132 26.597
42 5.10832 1.39945 14.73 5.10832 1.46039 28.565
43 5.23141 1.31738 15.66 5.23141 1.45332 30.619
44 5.3545 1.26021 16.592 5.3545 1.41699 32.717
45 5.47759 1.21196 17.53 5.47759 1.385 34.863
46 5.60069 1.10242 18.422 5.60069 1.40505 37.139
47 5.72378 1.09102 19.344 5.72378 1.28616 39.315
48 5.84687 1.26784 20.462 5.84687 1.28923 41.591
49 5.96996 1.2596 21.62 5.96996 1.27247 43.933
50 6.09305 1.29903 22.864 6.09305 1.24662 46.323
51 6.21615 1.30829 24.168 6.21615 1.21277 48.743
52 6.33924 1.3448 25.562 6.33924 1.236 51.308
53 6.46233 1.34419 27.01 6.46233 1.26541 54.037
54 6.58542 1.40705 28.584 6.58542 1.29848 56.945
55 6.70851 1.31109 30.106 6.70851 1.27751 59.914
56 6.83161 1.31411 31.688 6.83161 1.31487 63.083
57 6.9547 1.24396 33.24 6.9547 1.27955 66.279
58 7.07779 1.29084 34.908 7.07779 1.26868 69.561
59 7.20088 1.27849 36.618 7.20088 1.31493 73.082
60 7.32397 1.33273 38.462 7.32397 1.26569 76.588
61 7.44707 1.30162 40.324 7.44707 1.29054 80.284
62 7.57016 1.23257 42.146 7.57016 1.25263 83.991
63 7.69325 1.21179 43.996 7.69325 1.24559 87.798
64 7.81634 1.14093 45.794 7.81634 1.18796 91.546
65 7.93943 1.21407 47.768 7.93943 1.22238 95.525
66 8.06253 1.22142 49.816 8.06253 1.19964 99.552
67 8.18562 1.20232 51.894 8.18562 1.2173 103.764
68 8.30871 1.16696 53.972 8.30871 1.17505 107.953
69 8.4318 1.22693 56.222 8.4318 1.16714 112.238
70 8.55489 1.18022 58.45 8.55489 1.16052 116.624
71 8.67799 1.17683 60.736 8.67799 1.17591 121.197
72 8.80108 1.13614 63.006 8.80108 1.176 125.901
73 8.92417 1.17706 65.424 8.92417 1.14476 130.609
74 9.04726 1.18598 67.928 9.04726 1.16421 135.53
75 9.17035 1.11563 70.348 9.17035 1.14261 140.492
76 9.29345 1.115 72.832 9.29345 1.16232 145.676
77 9.41654 1.16124 75.488 9.41654 1.1389 150.891
78 9.53963 1.09739 78.064 9.53963 1.14119 156.254
79 9.66272 1.19002 80.93 9.66272 1.14445 161.772
80 9.78581 1.1206 83.698 9.78581 1.14597 167.439
81 9.90891 1.15137 86.614 9.90891 1.1585 173.313
82 10.032 1.16412 89.636 10.032 1.1568 179.325
83 10.1551 1.16314 92.73 10.1551 1.14263 185.41
84 10.2782 1.10462 95.74 10.2782 1.10333 191.429
85 10.4013 1.12235 98.872 10.4013 1.13787 197.786
86 10.5244 1.12635 102.09 10.5244 1.11351 204.155
87 10.6475 1.11345 105.346 10.6475 1.13301 210.788
88 10.7706 1.14229 108.764 10.7706 1.09073 217.322
89 10.8936 1.14667 112.274 10.8936 1.12301 224.204
90 11.0167 1.12056 115.782 11.0167 1.09247 231.051
91 11.1398 1.05594 119.162 11.1398 1.07689 237.952
92 11.2629 1.10939 122.792 11.2629 1.09332 245.114
93 11.386 1.1262 126.558 11.386 1.10715 252.526
94 11.5091 1.09346 130.294 11.5091 1.0738 259.871
95 11.6322 1.05325 133.97 11.6322 1.08469 267.45
96 11.7553 1.05488 137.73 11.7553 1.08914 275.222
97 11.8784 1.02214 141.45 11.8784 1.07821 283.078
98 12.0015 1.10356 145.55 12.0015 1.09264 291.205
99 12.1246 1.07124 149.612 12.1246 1.05977 299.25
100 12.2477 1.08032 153.792 12.2477 1.07704 307.593
10200 100
1 0.061546 0 0 0.061546 0 0
2 0.184638 0 0 0.184638 0 0
3 0.30773 0 0 0.30773 0 0
4 0.430822 0 0 0.430822 0 0
5 0.553914 0 0 0.553914 0 0
6 0.677006 0 0 0.677006 0 0
7 0.800098 0 0 0.800098 0 0
8 0.92319 0 0 0.92319 0 0
9 1.04628 0 0 1.04628 0 0
10 1.16937 0 0 1.16937 0 0
11 1.29247 0 0 1.29247 0 0
12 1.41556 0 0 1.41556 0 0
13 1.53865 0 0 1.53865 0.0485597 0.006
14 1.66174 0 0 1.66174 1.31151 0.195
15 1.78483 0 0 1.78483 3.30248 0.744
16 1.90793 0 0 1.90793 2.75863 1.268
17 2.03102 0 0 2.03102 1.41237 1.572
18 2.15411 0 0 2.15411 0.528679 1.7
19 2.2772 0 0 2.2772 0.321548 1.787
20 2.40029 0 0 2.40029 0.172988 1.839
21 2.52339 0.445942 0.074 2.52339 0.225758 1.914
22 2.64648 4.26251 0.852 2.64648 0.339346 2.038
23 2.76957 6.61357 2.174 2.76957 0.772144 2.347
24 2.89266 3.86146 3.016 2.89266 1.57832 3.036
25 3.01575 1.94091 3.476 3.01575 2.31201 4.133
26 3.13885 0.965954 3.724 3.13885 2.71403 5.528
27 3.26194 0.750172 3.932 3.26194 2.5311 6.933
28 3.38503 0.857369 4.188 3.38503 2.245 8.275
29 3.50812 0.985357 4.504 3.50812 2.01391 9.568
30 3.63121 1.1176 4.888 3.63121 1.66746 10.715
31 3.75431 1.21978 5.336 3.75431 1.51776 11.831
32 3.8774 1.41925 5.892 3.8774 1.4803 12.992
33 4.00049 1.51071 6.522 4.00049 1.47446 14.223
34 4.12358 1.8236 7.33 4.12358 1.43848 15.499
35 4.24667 1.78752 8.17 4.24667 1.45729 16.87
36 4.36977 1.82089 9.076 4.36977 1.45566 18.32
37 4.49286 1.76812 10.006 4.49286 1.43777 19.834
38 4.61595 1.80476 11.008 4.61595 1.43049 21.424
39 4.73904 1.75666 12.036 4.73904 1.41861 23.086
40 4.86213 1.58768 13.014 4.86213 1.41499 24.831
41 4.98523 1.46083 13.96 4.98523 1.49562 26.77
42 5.10832 1.42952 14.932 5.10832 1.4898 28.798
43 5.23141 1.23683 15.814 5.23141 1.43172 30.842
44 5.3545 1.15385 16.676 5.3545 1.45826 33.023
45 5.47759 1.17932 17.598 5.47759 1.40815 35.227
46 5.60069 1.18189 18.564 5.60069 1.37383 37.475
47 5.72378 1.21361 19.6 5.72378 1.33235 39.752
48 5.84687 1.11814 20.596 5.84687 1.26002 41.999
49 5.96996 1.29433 21.798 5.96996 1.23118 44.288
50 6.09305 1.28392 23.04 6.09305 1.21912 46.649
51 6.21615 1.33886 24.388 6.21615 1.2636 49.196
52 6.33924 1.28355 25.732 6.33924 1.26557 51.849
53 6.46233 1.3068 27.154 6.46233 1.27979 54.637
54 6.58542 1.42832 28.768 6.58542 1.304 57.587
55 6.70851 1.45995 30.48 6.70851 1.28044 60.593
56 6.83161 1.34368 32.114 6.83161 1.27127 63.688
57 6.9547 1.38541 33.86 6.9547 1.27384 66.902
58 7.07779 1.28095 35.532 7.07779 1.28196 70.252
59 7.20088 1.18276 37.13 7.20088 1.29655 73.759
60 7.32397 1.27355 38.91 7.32397 1.29551 77.384
61 7.44707 1.23734 40.698 7.44707 1.29486 81.13
62 7.57016 1.2068 42.5 7.57016 1.26781 84.92
63 7.69325 1.20999 44.366 7.69325 1.25283 88.788
64 7.81634 1.20736 46.288 7.81634 1.26985 92.835
65 7.93943 1.21892 48.29 7.93943 1.2025 96.789
66 8.06253 1.21623 50.35 8.06253 1.18789 100.817
67 8.18562 1.16389 52.382 8.18562 1.17703 104.931
68 8.30871 1.21973 54.576 8.30871 1.16935 109.142
69 8.4318 1.14659 56.7 8.4318 1.18022 113.519
70 8.55489 1.22081 59.028 8.55489 1.15305 117.921
71 8.67799 1.20477 61.392 8.67799 1.14069 122.402
72 8.80108 1.12671 63.666 8.80108 1.1736 127.144
73 8.92417 1.13632 66.024 8.92417 1.16792 131.996
74 9.04726 1.17595 68.532 9.04726 1.15978 136.948
75 9.17035 1.20939 71.182 9.17035 1.1537 142.009
76 9.29345 1.16868 73.812 9.29345 1.1482 147.182
77 9.41654 1.12707 76.416 9.41654 1.15232 152.512
78 9.53963 1.14204 79.124 9.53963 1.14932 157.968
79 9.66272 1.14272 81.904 9.66272 1.13829 163.512
80 9.78581 1.12458 84.71 9.78581 1.16869 169.35
81 9.90891 1.09134 87.502 9.90891 1.15292 175.255
82 10.032 1.11887 90.436 10.032 1.1629 181.36
83 10.1551 1.11722 93.438 10.1551 1.14176 187.502
84 10.2782 1.17345 96.668 10.2782 1.12873 193.722
85 10.4013 1.13875 99.878 10.4013 1.10607 199.964
86 10.5244 1.16008 103.226 10.5244 1.11531 206.408
87 10.6475 1.18487 106.726 10.6475 1.10912 212.967
88 10.7706 1.15265 110.21 10.7706 1.12076 219.749
89 10.8936 1.10799 113.636 10.8936 1.10802 226.608
90 11.0167 1.05681 116.978 11.0167 1.11767 233.684
91 11.1398 1.09606 120.522 11.1398 1.09434 240.768
92 11.2629 1.08978 124.124 11.2629 1.10758 248.097
93 11.386 1.1297 127.94 11.386 1.08997 255.468
94 11.5091 1.07089 131.636 11.5091 1.09573 263.039
95 11.6322 1.10337 135.526 11.6322 1.08499 270.697
96 11.7553 1.0515 139.312 11.7553 1.06627 278.383
97 11.8784 1.0369 143.124 11.8784 1.08763 286.388
98 12.0015 1.07542 147.16 12.0015 1.08513 294.541
99 12.1246 1.0631 151.232 12.1246 1.08485 302.86
100 12.2477 1.09659 155.518 12.2477 1.09115 311.398
10300 100
1 0.061546 0 0 0.061546 0 0
2 0.184638 0 0 0.184638 0 0
3 0.30773 0 0 0.30773 0 0
4 0.430822 0 0 0.430822 0 0
5 0.553914 0 0 0.553914 0 0
6 0.677006 0 0 0.677006 0 0
7 0.800098 0 0 0.800098 0 0
8 0.92319 0 0 0.92319 0 0
9 1.04628 0 0 1.04628 0 0
10 1.16937 0 0 1.16937 0 0
11 1.29247 0 0 1.29247 0 0
12 1.41556 0 0 1.41556 0 0
13 1.53865 0 0 1.53865 0.0878355 0.011
14 1.66174 0 0 1.66174 1.51306 0.232
15 1.78483 0 0 1.78483 3.21084 0.773
16 1.90793 0 0 1.90793 2.70096 1.293
17 2.03102 0 0 2.03102 1.26055 1.568
18 2.15411 0 0 2.15411 0.58681 1.712
19 2.2772 0 0 2.2772 0.288076 1.791
20 2.40029 0 0 2.40029 0.187085 1.848
21 2.52339 0.594566 0.1 2.52339 0.184131 1.91
22 2.64648 4.45416 0.924 2.64648 0.321308 2.029
23 2.76957 6.19936 2.18 2.76957 0.739629 2.329
24 2.89266 4.03606 3.072 2.89266 1.58659 3.031
25 3.01575 1.70681 3.482 3.01575 2.43289 4.201
26 3.13885 0.976093 3.736 3.13885 2.74492 5.631
27 3.26194 0.725906 3.94 3.26194 2.55591 7.069
28 3.38503 0.865728 4.202 3.38503 2.26614 8.442
29 3.50812 0.929108 4.504 3.50812 1.94549 9.708
30 3.63121 1.19454 4.92 3.63121 1.67671 10.877
31 3.75431 1.20346 5.368 3.75431 1.60346 12.072
32 3.8774 1.5816 5.996 3.8774 1.46428 13.236
33 4.00049 1.6088 6.676 4.00049 1.42638 14.443
34 4.12358 1.76359 7.468 4.12358 1.46819 15.763
35 4.24667 1.95258 8.398 4.24667 1.3948 17.093
36 4.36977 1.79654 9.304 4.36977 1.45996 18.567
37 4.49286 1.79699 10.262 4.49286 1.40917 20.071
38 4.61595 1.7131 11.226 4.61595 1.43355 21.686
39 4.73904 1.69608 12.232 4.73904 1.44932 23.407
40 4.86213 1.49277 13.164 4.86213 1.46567 25.239
41 4.98523 1.45958 14.122 4.98523 1.53498 27.256
42 5.10832 1.34656 15.05 5.10832 1.48364 29.303
43 5.23141 1.27287 15.97 5.23141 1.40359 31.334
44 5.3545 1.19653 16.876 5.3545 1.39852 33.454
45 5.47759 1.27461 17.886 5.47759 1.43345 35.728
46 5.60069 1.11539 18.81 5.60069 1.37354 38.006
47 5.72378 1.10954 19.77 5.72378 1.29432 40.248
48 5.84687 1.22724 20.878 5.84687 1.30236 42.602
49 5.96996 1.26428 22.068 5.96996 1.24338 44.945
50 6.09305 1.23411 23.278 6.09305 1.24256 47.384
51 6.21615 1.35427 24.66 6.21615 1.26481 49.968
52 6.33924 1.33234 26.074 6.33924 1.22087 52.562
53 6.46233 1.42895 27.65 6.46233 1.26675 55.359
54 6.58542 1.46684 29.33 6.58542 1.28613 58.308
55 6.70851 1.40004 30.994 6.70851 1.28517 61.366
56 6.83161 1.40846 32.73 6.83161 1.30898 64.596
57 6.9547 1.33556 34.436 6.9547 1.3049 67.933
58 7.07779 1.24265 36.08 7.07779 1.32145 71.433
59 7.20088 1.18885 37.708 7.20088 1.30949 75.023
60 7.32397 1.22405 39.442 7.32397 1.32014 78.767
61 7.44707 1.20986 41.214 7.44707 1.25742 82.454
62 7.57016 1.22502 43.068 7.57016 1.20003 86.09
63 7.69325 1.22964 44.99 7.69325 1.25142 90.006
64 7.81634 1.26187 47.026 7.81634 1.22625 93.967
65 7.93943 1.13054 48.908 7.93943 1.19602 97.953
66 8.06253 1.19997 50.968 8.06253 1.21855 102.141
67 8.18562 1.17545 53.048 8.18562 1.1692 106.283
68 8.30871 1.2089 55.252 8.30871 1.16714 110.543
69 8.4318 1.23032 57.562 8.4318 1.20089 115.057
70 8.55489 1.18171 59.846 8.55489 1.16994 119.584
71 8.67799 1.15145 62.136 8.67799 1.17491 124.262
72 8.80108 1.17128 64.532 8.80108 1.1579 129.004
73 8.92417 1.21146 67.08 8.92417 1.17107 133.935
74 9.04726 1.18057 69.632 9.04726 1.17315 139.012
75 9.17035 1.12748 72.136 9.17035 1.15851 144.163
76 9.29345 1.1855 74.84 9.29345 1.15956 149.458
77 9.41654 1.13421 77.496 9.41654 1.13926 154.799
78 9.53963 1.18335 80.34 9.53963 1.13395 160.255
79 9.66272 1.12582 83.116 9.66272 1.14941 165.929
80 9.78581 1.13089 85.976 9.78581 1.15682 171.786
81 9.90891 1.11685 88.872 9.90891 1.12999 177.652
82 10.032 1.13627 91.892 10.032 1.16332 183.842
83 10.1551 1.08245 94.84 10.1551 1.12098 189.954
84 10.2782 1.10614 97.926 10.2782 1.14031 196.323
85 10.4013 1.16762 101.262 10.4013 1.09897 202.609
86 10.5244 1.18012 104.714 10.5244 1.09988 209.05
87 10.6475 1.11959 108.066 10.6475 1.11113 215.71
