# Time-averaged data for fix rdf_fix
# TimeStep Number-of-rows
# Row c_rdfOO[1] c_rdfOO[2] c_rdfOO[3] c_rdfOH[1] c_rdfOH[2] c_rdfOH[3]
10000 100
16 1.90793 0 0 1.90793 1.51622 1.398
17 2.03102 0 0 2.03102 0.671592 1.66
18 2.15411 0 0 2.15411 0.305362 1.794
19 2.2772 0 0 2.2772 0.183526 1.884
20 2.40029 0 0 2.40029 0.111962 1.945
21 2.52339 0.28594 0.086 2.52339 0.112933 2.013
22 2.64648 2.98052 1.072 2.64648 0.218936 2.158
23 2.76957 3.70413 2.414 2.76957 0.479786 2.506
24 2.89266 2.09507 3.242 2.89266 0.98203 3.283
25 3.01575 1.05224 3.694 3.01575 1.52562 4.595
26 3.13885 0.65759 4 3.13885 1.72284 6.2
27 3.26194 0.573085 4.288 3.26194 1.71455 7.925
28 3.38503 0.676297 4.654 3.38503 1.44631 9.492
29 3.50812 0.72946 5.078 3.50812 1.28387 10.986
30 3.63121 0.860694 5.614 3.63121 1.16783 12.442
31 3.75431 0.96442 6.256 3.75431 1.055 13.848
32 3.8774 1.12668 7.056 3.8774 1.06998 15.369
33 4.00049 1.19602 7.96 4.00049 1.05009 16.958
34 4.12358 1.16802 8.898 4.12358 1.0636 18.668
35 4.24667 1.23279 9.948 4.24667 1.05328 20.464
36 4.36977 1.37057 11.184 4.36977 1.04684 22.354
37 4.49286 1.3007 12.424 4.49286 1.10816 24.469
38 4.61595 1.28195 13.714 4.61595 1.04985 26.584
39 4.73904 1.23131 15.02 4.73904 1.01204 28.733
40 4.86213 1.1393 16.292 4.86213 1.03258 31.041
41 4.98523 0.995131 17.46 4.98523 1.02733 33.455
42 5.10832 0.942885 18.622 5.10832 1.09677 36.161
43 5.23141 0.976407 19.884 5.23141 1.04422 38.863
44 5.3545 0.818299 20.992 5.3545 1.04509 41.696
45 5.47759 0.882148 22.242 5.47759 1.06492 44.717
46 5.60069 0.84245 23.49 5.60069 1.02133 47.746
47 5.72378 0.871238 24.838 5.72378 0.998533 50.839
48 5.84687 0.906792 26.302 5.84687 0.984469 54.021
49 5.96996 1.01356 28.008 5.96996 0.995632 57.376
50 6.09305 1.04603 29.842 6.09305 0.973475 60.793
51 6.21615 1.01926 31.702 6.21615 0.959392 64.298
52 6.33924 1.11812 33.824 6.33924 1.02751 68.202
53 6.46233 1.11649 36.026 6.46233 1.00748 72.18
54 6.58542 1.09858 38.276 6.58542 1.05407 76.502
55 6.70851 1.14615 40.712 6.70851 1.01339 80.814
56 6.83161 1.10885 43.156 6.83161 1.05766 85.481
57 6.9547 1.09096 45.648 6.9547 1.06932 90.371
58 7.07779 1.01953 48.06 7.07779 1.05525 95.369
59 7.20088 1.04214 50.612 7.20088 1.07435 100.636
60 7.32397 1.06425 53.308 7.32397 1.04978 105.96
61 7.44707 1.00951 55.952 7.44707 1.06571 111.548
62 7.57016 0.997639 58.652 7.57016 1.06345 117.31
63 7.69325 1.01749 61.496 7.69325 1.04971 123.184
64 7.81634 0.98015 64.324 7.81634 1.03526 129.164
65 7.93943 1.05144 67.454 7.93943 1.02371 135.265
66 8.06253 1.00199 70.53 8.06253 0.994809 141.379
67 8.18562 0.997999 73.688 8.18562 1.00695 147.758
68 8.30871 1.02938 77.044 8.30871 0.995564 154.256
69 8.4318 1.0198 80.468 8.4318 0.992298 160.926
70 8.55489 1.05027 84.098 8.55489 0.998055 167.832
71 8.67799 1.01112 87.694 8.67799 1.01531 175.061
72 8.80108 1.01912 91.422 8.80108 1.02165 182.543
73 8.92417 0.974187 95.086 8.92417 0.997251 190.052
74 9.04726 1.00839 98.984 9.04726 1.01449 197.903
75 9.17035 1.00064 102.958 9.17035 1.00731 205.912
76 9.29345 0.985098 106.976 9.29345 1.00958 214.156
77 9.41654 1.05217 111.382 9.41654 0.997677 222.52
78 9.53963 0.987962 115.628 9.53963 1.00185 231.14
79 9.66272 0.971116 119.91 9.66272 1.00186 239.984
80 9.78581 1.003 124.446 9.78581 1.00918 249.121
81 9.90891 1.00369 129.1 9.90891 1.01583 258.551
82 10.032 1.01414 133.92 10.032 1.00146 268.08
83 10.1551 0.98395 138.712 10.1551 1.01538 277.98
84 10.2782 1.01545 143.778 10.2782 1.00882 288.056
85 10.4013 1.01778 148.978 10.4013 0.992811 298.211
86 10.5244 1.03541 154.394 10.5244 1.00582 308.744
87 10.6475 1.02692 159.892 10.6475 1.00808 319.549
88 10.7706 1.01417 165.448 10.7706 1.00741 330.598
89 10.8936 1.01529 171.138 10.8936 1.00536 341.878
90 11.0167 1.0182 176.974 11.0167 1.00577 353.419
91 11.1398 0.994461 182.802 11.1398 1.00779 365.243
92 11.2629 1.00289 188.81 11.2629 1.00847 377.338
93 11.386 1.0055 194.966 11.386 1.00857 389.7
94 11.5091 0.975471 201.068 11.5091 1.00077 402.233
95 11.6322 1.00032 207.46 11.6322 1.00471 415.086
96 11.7553 0.996643 213.964 11.7553 0.996488 428.105
97 11.8784 0.971892 220.44 11.8784 0.996632 441.4
98 12.0015 1.03233 227.462 12.0015 1.00552 455.093
99 12.1246 1.00802 234.46 12.1246 0.999381 468.983
100 12.2477 1.00988 241.614 12.2477 0.995471 483.101
22100 100
1 0.061546 0 0 0.061546 0 0
2 0.184638 0 0 0.184638 0 0
3 0.30773 0 0 0.30773 0 0
4 0.430822 0 0 0.430822 0 0
5 0.553914 0 0 0.553914 0 0
6 0.677006 0 0 0.677006 0 0
7 0.800098 0 0 0.800098 0 0
8 0.92319 0 0 0.92319 0 0
9 1.04628 0 0 1.04628 0 0
10 1.16937 0 0 1.16937 0 0
11 1.29247 0 0 1.29247 0 0
12 1.41556 0 0 1.41556 0 0
13 1.53865 0 0 1.53865 0.0447165 0.01
14 1.66174 0 0 1.66174 0.83198 0.227
15 1.78483 0 0 1.78483 1.99085 0.826
16 1.90793 0 0 1.90793 1.57945 1.369
17 2.03102 0 0 2.03102 0.782922 1.674
18 2.15411 0 0 2.15411 0.303513 1.807
19 2.2772 0 0 2.2772 0.165408 1.888
20 2.40029 0 0 2.40029 0.137853 1.963
21 2.52339 0.293003 0.088 2.52339 0.129724 2.041
22 2.64648 2.5791 0.94 2.64648 0.246463 2.204
23 2.76957 3.94708 2.368 2.76957 0.514982 2.577
24 2.89266 2.28047 3.268 2.89266 0.937856 3.318
25 3.01575 1.11901 3.748 3.01575 1.47771 4.587
26 3.13885 0.598264 4.026 3.13885 1.793 6.255
27 3.26194 0.641647 4.348 3.26194 1.66721 7.93
28 3.38503 0.725365 4.74 3.38503 1.44743 9.496
29 3.50812 0.640903 5.112 3.50812 1.25901 10.959
30 3.63121 0.903721 5.674 3.63121 1.11647 12.349
31 3.75431 0.938707 6.298 3.75431 1.06025 13.76
32 3.8774 1.07186 7.058 3.8774 1.06163 15.267
33 4.00049 1.17651 7.946 4.00049 1.06879 16.882
34 4.12358 1.20708 8.914 4.12358 1.11431 18.671
35 4.24667 1.20397 9.938 4.24667 1.07356 20.499
36 4.36977 1.20373 11.022 4.36977 1.04666 22.386
37 4.49286 1.36557 12.322 4.49286 1.0688 24.423
38 4.61595 1.25391 13.582 4.61595 1.06078 26.557
39 4.73904 1.2085 14.862 4.73904 1.02809 28.737
40 4.86213 1.17679 16.174 4.86213 1.05241 31.086
41 4.98523 1.06138 17.418 4.98523 1.0616 33.577
42 5.10832 1.02548 18.68 5.10832 1.04353 36.148
43 5.23141 0.985537 19.952 5.23141 1.07627 38.929
44 5.3545 0.908207 21.18 5.3545 1.03549 41.732
45 5.47759 0.816965 22.336 5.47759 1.05972 44.734
46 5.60069 0.928817 23.71 5.60069 1.00623 47.714
47 5.72378 0.865999 25.048 5.72378 0.99445 50.79
48 5.84687 0.899391 26.498 5.84687 0.997946 54.011
49 5.96996 0.968589 28.126 5.96996 0.976238 57.296
50 6.09305 0.965263 29.816 6.09305 0.991971 60.773
51 6.21615 1.00973 31.656 6.21615 0.976923 64.337
52 6.33924 1.06588 33.676 6.33924 0.992858 68.104
53 6.46233 1.11807 35.878 6.46233 1.0079 72.078
54 6.58542 1.06493 38.056 6.58542 1.03163 76.302
55 6.70851 1.14872 40.494 6.70851 1.03107 80.683
56 6.83161 1.11769 42.954 6.83161 1.0562 85.337
57 6.9547 1.06532 45.384 6.9547 1.06514 90.201
58 7.07779 1.076 47.926 7.07779 1.05124 95.173
59 7.20088 1.05098 50.496 7.20088 1.0628 100.376
60 7.32397 1.01753 53.07 7.32397 1.04021 105.644
61 7.44707 1.02164 55.742 7.44707 1.05977 111.193
62 7.57016 1.06417 58.618 7.57016 1.05553 116.904
63 7.69325 1.04616 61.538 7.69325 1.06569 122.859
64 7.81634 0.99195 64.396 7.81634 1.0232 128.761
65 7.93943 0.999108 67.366 7.93943 1.03894 134.944
66 8.06253 1.02298 70.502 8.06253 1.02995 141.265
67 8.18562 1.02346 73.736 8.18562 1.00647 147.632
68 8.30871 1.02838 77.084 8.30871 1.0048 154.181
69 8.4318 0.999768 80.436 8.4318 1.00592 160.933
70 8.55489 1.02162 83.962 8.55489 0.988903 167.766
71 8.67799 1.03283 87.63 8.67799 1.0204 175.021
72 8.80108 0.982239 91.218 8.80108 1.00696 182.385
73 8.92417 0.997931 94.966 8.92417 1.01808 190.04
74 9.04726 1.00309 98.838 9.04726 1.00648 197.818
75 9.17035 0.980372 102.726 9.17035 1.0037 205.787
76 9.29345 1.02725 106.91 9.29345 0.993845 213.891
77 9.41654 1.05174 111.308 9.41654 1.00888 222.337
78 9.53963 0.982836 115.526 9.53963 1.00443 230.967
79 9.66272 0.993839 119.902 9.66272 0.993185 239.722
80 9.78581 0.981395 124.334 9.78581 0.990478 248.677
81 9.90891 0.965803 128.806 9.90891 1.015 258.086
82 10.032 1.01473 133.622 10.032 0.990454 267.497
83 10.1551 0.959023 138.286 10.1551 1.00315 277.264
84 10.2782 1.05582 143.546 10.2782 1.01466 287.384
85 10.4013 1.06038 148.956 10.4013 1.01174 297.718
86 10.5244 1.00394 154.2 10.5244 1.01413 308.323
87 10.6475 0.989096 159.488 10.6475 1.01726 319.211
88 10.7706 1.00939 165.01 10.7706 0.996603 330.126
89 10.8936 1.0203 170.72 10.8936 1.02009 341.555
90 11.0167 1.01929 176.554 11.0167 1.01051 353.134
91 11.1398 1.01569 182.498 11.1398 1.01237 364.995
92 11.2629 1.03908 188.714 11.2629 1.01483 377.149
93 11.386 0.99547 194.8 11.386 0.998233 389.367
94 11.5091 0.983896 200.946 11.5091 0.993707 401.794
95 11.6322 1.00111 207.334 11.6322 1.00324 414.61
96 11.7553 0.997439 213.834 11.7553 1.01016 427.789
97 11.8784 1.00753 220.538 11.8784 1.00487 441.175
98 12.0015 1.01701 227.446 12.0015 0.99481 454.703
99 12.1246 1.00627 234.422 12.1246 1.00166 468.605
100 12.2477 0.972291 241.3 12.2477 0.998221 482.742
22200 100
1 0.061546 0 0 0.061546 0 0
2 0.184638 0 0 0.184638 0 0
3 0.30773 0 0 0.30773 0 0
4 0.430822 0 0 0.430822 0 0
5 0.553914 0 0 0.553914 0 0
6 0.677006 0 0 0.677006 0 0
7 0.800098 0 0 0.800098 0 0
8 0.92319 0 0 0.92319 0 0
9 1.04628 0 0 1.04628 0 0
10 1.16937 0 0 1.16937 0 0
11 1.29247 0 0 1.29247 0 0
12 1.41556 0 0 1.41556 0 0
13 1.53865 0 0 1.53865 0.035711 0.008
14 1.66174 0 0 1.66174 0.884117 0.239
15 1.78483 0 0 1.78483 2.16987 0.893
16 1.90793 0 0 1.90793 1.50411 1.411
17 2.03102 0 0 2.03102 0.653436 1.666
18 2.15411 0 0 2.15411 0.309819 1.802
19 2.2772 0 0 2.2772 0.148812 1.875
20 2.40029 0 0 2.40029 0.111926 1.936
21 2.52339 0.372265 0.112 2.52339 0.1378 2.019
22 2.64648 2.68945 1.002 2.64648 0.262638 2.193
23 2.76957 4.0837 2.482 2.76957 0.508573 2.562
24 2.89266 1.9325 3.246 2.89266 0.90464 3.278
25 3.01575 1.01932 3.684 3.01575 1.45654 4.531
26 3.13885 0.687452 4.004 3.13885 1.78559 6.195
27 3.26194 0.596769 4.304 3.26194 1.6673 7.873
28 3.38503 0.609578 4.634 3.38503 1.49474 9.493
29 3.50812 0.667307 5.022 3.50812 1.25425 10.953
30 3.63121 0.812257 5.528 3.63121 1.14019 12.375
31 3.75431 1.08725 6.252 3.75431 1.08766 13.825
32 3.8774 1.08126 7.02 3.8774 1.03166 15.292
33 4.00049 1.11363 7.862 4.00049 1.03191 16.854
34 4.12358 1.22739 8.848 4.12358 1.07321 18.58
35 4.24667 1.3169 9.97 4.24667 1.06525 20.397
36 4.36977 1.32579 11.166 4.36977 1.07917 22.346
37 4.49286 1.29399 12.4 4.49286 1.05071 24.352
38 4.61595 1.25173 13.66 4.61595 1.04306 26.454
39 4.73904 1.21583 14.95 4.73904 1.04042 28.664
40 4.86213 1.11923 16.2 4.86213 1.09307 31.108
41 4.98523 1.07828 17.466 4.98523 1.0755 33.636
42 5.10832 1.01396 18.716 5.10832 1.064 36.262
43 5.23141 0.918855 19.904 5.23141 1.00757 38.87
44 5.3545 0.921394 21.152 5.3545 1.05803 41.739
45 5.47759 0.821189 22.316 5.47759 1.01665 44.624
46 5.60069 0.830029 23.546 5.60069 0.985263 47.547
47 5.72378 0.872247 24.896 5.72378 1.01919 50.705
48 5.84687 0.925072 26.39 5.84687 0.977035 53.864
49 5.96996 0.950275 27.99 5.96996 1.01044 57.27
50 6.09305 0.94762 29.652 6.09305 0.984266 60.726
51 6.21615 1.03756 31.546 6.21615 0.95306 64.209
52 6.33924 1.14198 33.714 6.33924 0.998499 68.004
53 6.46233 1.14654 35.976 6.46233 1.03855 72.106
54 6.58542 1.15191 38.336 6.58542 1.03934 76.369
55 6.70851 1.09686 40.668 6.70851 1.04596 80.821
56 6.83161 1.03683 42.954 6.83161 1.04236 85.422
57 6.9547 1.09761 45.462 6.9547 1.05957 90.269
58 7.07779 1.10455 48.076 7.07779 1.06039 95.293
59 7.20088 1.06303 50.68 7.20088 1.06421 100.512
60 7.32397 1.0205 53.266 7.32397 1.06403 105.91
61 7.44707 1.03437 55.976 7.44707 1.06079 111.474
62 7.57016 0.987711 58.65 7.57016 1.04244 117.124
63 7.69325 0.98497 61.404 7.69325 1.04812 122.991
64 7.81634 0.998541 64.286 7.81634 1.04306 129.018
65 7.93943 1.01147 67.298 7.93943 1.01684 135.08
66 8.06253 0.987991 70.332 8.06253 0.992858 141.184
67 8.18562 1.07286 73.728 8.18562 1.0082 147.573
68 8.30871 1.03518 77.104 8.30871 1.00673 154.146
69 8.4318 1.0278 80.556 8.4318 1.02306 161.025
70 8.55489 0.96431 83.89 8.55489 0.992096 167.892
71 8.67799 1.02653 87.542 8.67799 1.02116 175.165
72 8.80108 1.03082 91.314 8.80108 1.0074 182.545
73 8.92417 0.991944 95.046 8.92417 1.02268 190.248
74 9.04726 1.08255 99.232 9.04726 1.01481 198.104
75 9.17035 0.977158 103.114 9.17035 0.989886 205.977
76 9.29345 1.00242 107.204 9.29345 1.00681 214.201
77 9.41654 1.00933 111.432 9.41654 1.00916 222.664
78 9.53963 1.01741 115.806 9.53963 1.00396 231.305
79 9.66272 1.00027 120.218 9.66272 1.00324 240.164
80 9.78581 0.984994 124.674 9.78581 1.00444 249.261
81 9.90891 1.00077 129.316 9.90891 1.0198 258.731
82 10.032 0.975104 133.952 10.032 1.01279 268.371
83 10.1551 0.963104 138.644 10.1551 1.00428 278.166
84 10.2782 1.0083 143.676 10.2782 1.00089 288.166
85 10.4013 1.05776 149.082 10.4013 0.997081 298.368
86 10.5244 1.03698 154.508 10.5244 1.00559 308.902
87 10.6475 1.01016 159.918 10.6475 0.999446 319.618
88 10.7706 1.02077 165.512 10.7706 1.01346 330.737
89 10.8936 1.03173 171.296 10.8936 1.01769 342.159
90 11.0167 1.00287 177.046 11.0167 1.01319 353.789
91 11.1398 0.989702 182.848 11.1398 0.985304 365.353
92 11.2629 1.02259 188.976 11.2629 1.03674 377.791
93 11.386 1.01627 195.2 11.386 1.00522 390.116
94 11.5091 1.03013 201.646 11.5091 1.00076 402.653
95 11.6322 0.969957 207.846 11.6322 1.01533 415.646
96 11.7553 0.985902 214.282 11.7553 0.978795 428.438
97 11.8784 0.990779 220.886 11.8784 0.991137 441.664
98 12.0015 0.987608 227.606 12.0015 1.00358 455.335
99 12.1246 1.01748 234.672 12.1246 1.0133 469.423
100 12.2477 0.990357 241.69 12.2477 1.00946 483.744
22300 100
1 0.061546 0 0 0.061546 0 0
2 0.184638 0 0 0.184638 0 0
3 0.30773 0 0 0.30773 0 0
4 0.430822 0 0 0.430822 0 0
5 0.553914 0 0 0.553914 0 0
6 0.677006 0 0 0.677006 0 0
7 0.800098 0 0 0.800098 0 0
8 0.92319 0 0 0.92319 0 0
9 1.04628 0 0 1.04628 0 0
10 1.16937 0 0 1.16937 0 0
11 1.29247 0 0 1.29247 0 0
12 1.41556 0 0 1.41556 0 0
13 1.53865 0 0 1.53865 0.044642 0.01
14 1.66174 0 0 1.66174 0.845905 0.231
15 1.78483 0 0 1.78483 2.09039 0.861
16 1.90793 0 0 1.90793 1.46647 1.366
17 2.03102 0 0 2.03102 0.740615 1.655
18 2.15411 0 0 2.15411 0.31212 1.792
19 2.2772 0 0 2.2772 0.195712 1.888
20 2.40029 0 0 2.40029 0.0972538 1.941
21 2.52339 0.272571 0.082 2.52339 0.149432 2.031
22 2.64648 2.74404 0.99 2.64648 0.217371 2.175
23 2.76957 3.77493 2.358 2.76957 0.545826 2.571
24 2.89266 2.21596 3.234 2.89266 0.929976 3.307
25 3.01575 1.09852 3.706 3.01575 1.47757 4.578
26 3.13885 0.726173 4.044 3.13885 1.76103 6.219
27 3.26194 0.561003 4.326 3.26194 1.63462 7.864
28 3.38503 0.605927 4.654 3.38503 1.44687 9.432
29 3.50812 0.794634 5.116 3.50812 1.2655 10.905
30 3.63121 0.83479 5.636 3.63121 1.1932 12.393
31 3.75431 1.00022 6.302 3.75431 1.06748 13.816
32 3.8774 1.02784 7.032 3.8774 1.01556 15.26
33 4.00049 1.02112 7.804 4.00049 1.03529 16.827
34 4.12358 1.1503 8.728 4.12358 1.05401 18.522
35 4.24667 1.38742 9.91 4.24667 1.05477 20.321
36 4.36977 1.35249 11.13 4.36977 1.06817 22.25
37 4.49286 1.24584 12.318 4.49286 1.07121 24.295
38 4.61595 1.24586 13.572 4.61595 1.06894 26.449
39 4.73904 1.16502 14.808 4.73904 1.01131 28.597
40 4.86213 1.1623 16.106 4.86213 1.03634 30.914
41 4.98523 1.11583 17.416 4.98523 1.08238 33.458
42 5.10832 0.911819 18.54 5.10832 1.04584 36.039
43 5.23141 0.965331 19.788 5.23141 1.03662 38.722
44 5.3545 0.949518 21.074 5.3545 1.05478 41.582
45 5.47759 0.852292 22.282 5.47759 1.04386 44.544
46 5.60069 0.853034 23.546 5.60069 1.02107 47.573
47 5.72378 0.900741 24.94 5.72378 1.00119 50.675
48 5.84687 0.868169 26.342 5.84687 0.978652 53.839
49 5.96996 0.91233 27.878 5.96996 0.966601 57.097
50 6.09305 1.09138 29.792 6.09305 0.985191 60.556
51 6.21615 1.05845 31.724 6.21615 1.00211 64.218
52 6.33924 1.04724 33.712 6.33924 1.01357 68.07
53 6.46233 1.08985 35.862 6.46233 1.01837 72.092
54 6.58542 1.08756 38.09 6.58542 1.03625 76.342
55 6.70851 1.08189 40.39 6.70851 1.06107 80.858
56 6.83161 1.14939 42.924 6.83161 1.03655 85.433
57 6.9547 1.08543 45.404 6.9547 1.03909 90.186
58 7.07779 1.07759 47.954 7.07779 1.06554 95.234
59 7.20088 1.08026 50.6 7.20088 1.06144 100.439
60 7.32397 0.997683 53.128 7.32397 1.05405 105.786
61 7.44707 1.08102 55.96 7.44707 1.03132 111.195
62 7.57016 0.985566 58.628 7.57016 1.05193 116.896
63 7.69325 1.0344 61.52 7.69325 1.04337 122.736
64 7.81634 0.947331 64.254 7.81634 1.02825 128.677
65 7.93943 0.979308 67.17 7.93943 1.00886 134.691
66 8.06253 1.02193 70.308 8.06253 1.01424 140.926
67 8.18562 1.00343 73.484 8.18562 1.00969 147.324
68 8.30871 1.02973 76.842 8.30871 1.02656 154.026
69 8.4318 1.02073 80.27 8.4318 1.01971 160.882
70 8.55489 1.02397 83.81 8.55489 1.00199 167.817
71 8.67799 1.01874 87.434 8.67799 1.00817 174.997
72 8.80108 1.00411 91.108 8.80108 1.01389 182.424
73 8.92417 1.00743 94.898 8.92417 1.00496 189.993
74 9.04726 1.05055 98.96 9.04726 0.993307 197.682
75 9.17035 0.977732 102.844 9.17035 1.00354 205.663
76 9.29345 1.01328 106.978 9.29345 1.01472 213.951
77 9.41654 1.05381 111.392 9.41654 0.996471 222.307
78 9.53963 0.935139 115.412 9.53963 1.00648 230.969
79 9.66272 1.0144 119.886 9.66272 1.00773 239.867
80 9.78581 1.01955 124.498 9.78581 1.0097 249.011
81 9.90891 1.02413 129.248 9.90891 1.02214 258.502
82 10.032 0.99621 133.984 10.032 1.00772 268.093
83 10.1551 0.990681 138.81 10.1551 1.01707 278.012
84 10.2782 1.0196 143.898 10.2782 1.01337 288.136
85 10.4013 1.03161 149.17 10.4013 0.994124 298.307
86 10.5244 1.00112 154.408 10.5244 0.99029 308.68
87 10.6475 1.01882 159.864 10.6475 1.00866 319.494
88 10.7706 0.995665 165.32 10.7706 1.00278 330.495
89 10.8936 1.02645 171.074 10.8936 1.02997 342.054
90 11.0167 1.00713 176.848 11.0167 1.011 353.658
91 11.1398 1.02253 182.842 11.1398 1.01741 365.598
92 11.2629 0.980607 188.718 11.2629 1.00097 377.606
93 11.386 0.988259 194.77 11.386 0.998609 389.849
94 11.5091 1.01774 201.138 11.5091 0.999316 402.367
95 11.6322 1.00726 207.576 11.6322 0.998832 415.148
96 11.7553 1.02488 214.266 11.7553 1.00205 428.243
97 11.8784 0.992351 220.88 11.8784 1.0065 441.673
98 12.0015 0.982388 227.564 12.0015 1.00159 455.316
99 12.1246 1.00027 234.51 12.1246 1.00251 469.253
100 12.2477 0.992122 241.54 12.2477 1.00488 483.508
22400 100
1 0.061546 0 0 0.061546 0 0
2 0.184638 0 0 0.184638 0 0
3 0.30773 0 0 0.30773 0 0
4 0.430822 0 0 0.430822 0 0
5 0.553914 0 0 0.553914 0 0
6 0.677006 0 0 0.677006 0 0
7 0.800098 0 0 0.800098 0 0
8 0.92319 0 0 0.92319 0 0
9 1.04628 0 0 1.04628 0 0
10 1.16937 0 0 1.16937 0 0
11 1.29247 0 0 1.29247 0 0
12 1.41556 0 0 1.41556 0 0
13 1.53865 0 0 1.53865 0.0222927 0.005
14 1.66174 0 0 1.66174 0.944225 0.252
15 1.78483 0 0 1.78483 1.97176 0.847
16 1.90793 0 0 1.90793 1.51101 1.368
17 2.03102 0 0 2.03102 0.711522 1.646
18 2.15411 0 0 2.15411 0.31855 1.786
19 2.2772 0 0 2.2772 0.173067 1.871
20 2.40029 0 0 2.40029 0.108126 1.93
21 2.52339 0.258946 0.078 2.52339 0.155876 2.024
22 2.64648 2.90958 1.042 2.64648 0.241218 2.184
23 2.76957 3.55518 2.332 2.76957 0.461161 2.519
24 2.89266 2.21821 3.21 2.89266 0.955298 3.276
25 3.01575 0.971612 3.628 3.01575 1.49544 4.564
26 3.13885 0.751002 3.978 3.13885 1.72772 6.176
27 3.26194 0.679504 4.32 3.26194 1.65736 7.846
28 3.38503 0.594089 4.642 3.38503 1.46991 9.441
29 3.50812 0.704301 5.052 3.50812 1.24931 10.897
30 3.63121 0.881832 5.602 3.63121 1.09558 12.265
31 3.75431 1.01095 6.276 3.75431 1.08486 13.713
32 3.8774 1.00966 6.994 3.8774 1.05431 15.214
33 4.00049 1.17306 7.882 4.00049 1.09469 16.873
34 4.12358 1.20603 8.852 4.12358 1.10919 18.659
35 4.24667 1.22857 9.9 4.24667 0.970283 20.316
36 4.36977 1.36406 11.132 4.36977 1.03087 22.18
37 4.49286 1.3113 12.384 4.49286 1.06253 24.211
38 4.61595 1.17482 13.568 4.61595 1.0433 26.316
39 4.73904 1.22002 14.864 4.73904 1.06363 28.578
40 4.86213 1.13578 16.134 4.86213 1.03816 30.902
41 4.98523 1.0889 17.414 4.98523 1.09928 33.489
42 5.10832 0.959276 18.598 5.10832 1.06516 36.121
43 5.23141 0.939387 19.814 5.23141 1.06116 38.871
44 5.3545 0.89817 21.032 5.3545 1.04313 41.703
45 5.47759 0.821617 22.198 5.47759 1.02635 44.619
46 5.60069 0.918007 23.56 5.60069 1.00159 47.594
47 5.72378 0.897018 24.95 5.72378 1.00153 50.701
48 5.84687 0.88686 26.384 5.84687 0.96382 53.821
49 5.96996 0.947953 27.982 5.96996 0.97071 57.097
50 6.09305 0.941931 29.636 6.09305 0.991054 60.581
51 6.21615 1.0779 31.606 6.21615 0.986084 64.189
52 6.33924 1.07748 33.654 6.33924 0.984166 67.934
53 6.46233 1.08442 35.796 6.46233 1.01379 71.943
54 6.58542 1.13591 38.126 6.58542 0.999139 76.046
55 6.70851 1.13031 40.532 6.70851 1.04306 80.491
56 6.83161 1.11351 42.99 6.83161 1.06397 85.193
57 6.9547 1.05084 45.394 6.9547 1.06813 90.085
58 7.07779 1.07116 47.932 7.07779 1.07936 95.205
59 7.20088 1.04056 50.484 7.20088 1.06111 100.415
60 7.32397 1.05475 53.16 7.32397 1.06827 105.841
61 7.44707 1.01407 55.82 7.44707 1.0481 111.345
62 7.57016 1.02859 58.608 7.57016 1.06331 117.115
63 7.69325 1.04095 61.522 7.69325 1.03152 122.896
64 7.81634 1.01188 64.446 7.81634 1.047 128.953
65 7.93943 0.961296 67.312 7.93943 0.99602 134.898
66 8.06253 1.00502 70.402 8.06253 1.0214 141.185
67 8.18562 0.993327 73.55 8.18562 1.01503 147.625
68 8.30871 1.05722 77.002 8.30871 0.997111 154.143
69 8.4318 0.992674 80.34 8.4318 1.01396 160.969
70 8.55489 1.00129 83.806 8.55489 0.988602 167.82
71 8.67799 1.02924 87.472 8.67799 0.998058 174.937
72 8.80108 1.00993 91.172 8.80108 0.995832 182.241
73 8.92417 1.01412 94.992 8.92417 0.981281 189.641
74 9.04726 1.01513 98.922 9.04726 1.01269 197.49
75 9.17035 1.00566 102.922 9.17035 1.01432 205.567
76 9.29345 0.985559 106.948 9.29345 1.016 213.876
77 9.41654 1.03292 111.28 9.41654 1.02689 222.498
78 9.53963 0.970662 115.458 9.53963 1.0095 231.197
79 9.66272 0.999984 119.874 9.66272 1.00181 240.054
80 9.78581 1.0028 124.416 9.78581 1.00092 249.13
81 9.90891 1.00173 129.068 9.90891 1.01826 258.597
82 10.032 1.03612 134 10.032 1.00822 268.205
83 10.1551 1.02551 139.002 10.1551 1.01138 278.081
84 10.2782 1.0083 144.04 10.2782 0.994894 288.033
85 10.4013 1.00412 149.178 10.4013 1.01366 298.417
86 10.5244 1.01207 154.48 10.5244 1.00906 309
87 10.6475 1.05259 160.124 10.6475 1.00235 319.76
88 10.7706 1.01773 165.708 10.7706 1.01872 330.95
89 10.8936 0.987736 171.252 10.8936 1.00668 342.262
90 11.0167 1.01213 177.062 11.0167 1.01251 353.898
91 11.1398 1.02157 183.058 11.1398 1.01408 365.814
92 11.2629 1.0057 189.092 11.2629 1.0285 378.168
93 11.386 0.994509 195.19 11.386 1.00109 390.457
94 11.5091 1.00464 201.484 11.5091 1.00076 403.009
95 11.6322 0.979423 207.752 11.6322 0.992415 415.724
96 11.7553 0.997882 214.274 11.7553 0.984809 428.61
97 11.8784 0.989595 220.878 11.8784 1.00926 442.094
98 12.0015 1.00727 227.74 12.0015 0.998639 455.714
99 12.1246 1.00907 234.756 12.1246 0.996713 469.588
100 12.2477 0.984945 241.744 12.2477 0.988607 483.63
22500 100
1 0.061546 0 0 0.061546 0 0
